Gender,Dob,PIN,Curr_res_yr,Curr_res,Rent,Deps,Marital,Qualification,Credit_score,Religion,Category,Res_stat,Occupation,Salaried,Emp_pin,Curr_emp_yr,Gross_monthly_in,Net_monthly_in,Avg_monthly_exp,Prop,Veh,FD,PPF,PF,Investments,SLIP,Amt,Tenor,Returned
1,1989,110087,47,3,19000,8,0,1,514,3,0,0,2,0,110015,47,24026,40613,14758,228549,86926,30228,56608,55357,57103,62358,2075478,8,0
2,1970,110023,57,0,23000,0,1,0,610,3,1,0,0,4,110043,57,178130,14528,59981,151448,187794,32477,48143,37915,77908,66453,2444733,24,0
1,1994,110030,32,0,23000,0,2,0,893,0,0,1,0,4,110076,32,246050,36982,28983,229517,98148,48696,45938,18284,201266,316106,2341649,20,1
1,1978,110032,37,3,17000,6,0,1,645,3,0,2,2,3,110066,37,216635,40941,40381,239735,236875,40852,58894,54916,177085,374302,187659,8,0
1,1957,110006,6,1,22000,6,0,2,808,0,3,0,1,4,110002,6,10422,40236,28799,41718,203053,52233,11799,41975,186476,131576,2849600,12,0
0,1983,110029,43,3,18000,9,1,0,859,1,2,1,0,1,110016,43,26986,36496,30387,167585,103405,59488,53926,29577,52881,291116,1391715,10,0
1,1973,110030,1,3,18000,1,0,0,696,3,2,0,0,2,110064,1,14589,41079,40025,120671,164655,17713,51837,14264,18663,328054,3293631,15,0
0,1963,110025,7,1,13000,7,1,2,824,3,1,1,2,2,110083,7,143238,41883,51184,30000,229013,42182,27708,15699,60797,273972,4568630,32,1
1,1980,110076,6,1,14000,7,1,0,512,1,2,2,2,0,110001,6,128495,49309,30964,185640,212164,57531,32742,59899,181048,133444,1210246,24,1
1,1996,110078,20,0,7000,3,0,2,803,0,1,2,0,3,110060,20,46470,12756,27902,115309,208375,22215,30167,40425,140131,273828,2875144,10,0
2,1986,110090,60,2,23000,0,1,0,435,1,2,0,1,4,110069,60,244256,56281,25282,200373,33428,28311,18824,34729,208337,437252,2536269,8,0
2,1950,110070,54,3,10000,9,2,1,349,1,1,2,1,2,110057,54,152064,28053,29640,69351,162851,35575,21231,33332,44602,498066,4233471,28,1
1,1995,110022,20,1,15000,8,0,2,513,0,1,1,2,1,110034,20,88979,40380,18254,172646,208030,22229,25344,14466,173755,259292,2783332,10,1
0,1987,110019,56,0,23000,6,0,0,369,3,3,0,0,1,110100,56,114808,55649,22316,38029,134765,32738,54060,32026,17433,275274,4559967,32,1
0,1986,110019,32,0,23000,5,2,2,841,0,0,1,2,0,110048,32,172573,27035,59062,62814,44017,56505,22529,37028,54738,176521,1120222,15,0
0,1987,110045,16,0,10000,3,1,1,721,0,0,1,1,3,110085,16,182497,42380,28870,181421,47064,56439,38299,52090,43298,168286,1713490,20,0
1,1986,110013,46,1,6000,0,1,0,687,3,2,2,2,1,110079,46,212833,58248,41544,180306,116546,19205,38777,46210,191157,237652,1628904,4,1
2,1987,110044,21,0,21000,0,1,1,443,3,2,1,1,3,110067,21,167886,42529,22489,215509,76671,36656,11521,31063,55263,44600,2042252,10,1
2,1975,110090,21,2,8000,0,1,1,624,3,3,0,0,3,110078,21,109736,40696,30146,215130,71055,16562,40167,44486,82044,164228,598299,4,1
0,1955,110042,22,2,12000,6,1,0,606,1,2,0,0,3,110100,22,42612,21900,36711,164780,120885,32297,16685,35736,116288,57875,4976070,24,0
1,1958,110056,25,3,6000,8,2,0,883,3,3,1,1,3,110088,25,152583,28378,34800,224520,73807,15071,54344,18859,142023,440019,4139143,8,1
0,1964,110058,6,1,0,0,1,2,787,3,1,1,0,4,110082,6,34853,41610,54863,207430,235623,46042,28076,48435,24835,402990,1312903,20,1
1,1977,110087,8,2,9000,3,0,2,405,1,0,2,0,0,110049,8,134219,50954,45528,183486,232627,12456,39274,44266,163552,315232,3510873,32,0
1,1994,110016,4,2,17000,6,1,1,436,2,3,1,0,1,110044,4,243409,55305,23397,41801,131973,50353,23267,53721,212209,476713,3591596,12,1
1,1976,110035,51,1,7000,3,0,1,696,1,3,1,0,4,110061,51,36405,15028,42758,45028,95423,42977,49279,44576,49005,100652,1415292,10,0
0,1953,110075,41,0,0,8,0,1,627,1,3,1,2,3,110010,41,165057,19376,55303,230190,235830,48902,33520,21703,163651,156127,862258,15,0
0,1997,110062,19,3,12000,8,2,2,519,2,2,1,0,4,110092,19,122396,39958,14811,62981,151248,27385,55254,37828,103735,333953,1766723,15,1
2,1992,110004,24,2,23000,8,0,1,590,0,0,2,0,4,110076,24,49308,33196,55604,35004,109996,23638,39753,49967,17775,345131,2319611,32,0
2,1965,110020,28,3,23000,5,2,1,786,1,0,1,0,1,110037,28,80374,11839,18776,36618,175803,37784,43569,51709,223682,489260,4430001,32,1
2,1976,110016,32,0,23000,8,1,1,416,2,0,2,2,2,110053,32,176516,50330,17208,56313,226419,36965,36866,50630,141866,390361,2307365,12,1
2,1987,110090,23,0,12000,5,1,1,664,3,2,2,1,1,110083,23,118178,28973,32229,148140,177417,41266,21612,46301,90303,380425,4408426,28,1
2,1954,110011,10,0,19000,5,0,1,856,2,0,0,2,3,110044,10,118857,56673,27761,139266,120175,47193,41015,22284,105331,97965,671141,32,0
0,1996,110043,4,0,0,4,1,0,683,1,2,1,1,3,110095,4,100023,37608,46166,221463,55225,22986,14484,46091,17773,310169,527037,10,0
1,1970,110016,41,1,19000,2,1,1,424,3,3,1,0,3,110037,41,243980,16351,52787,117709,56066,40532,32343,37750,63801,279605,1695689,24,1
1,1954,110015,22,0,17000,2,1,1,793,2,3,0,2,4,110069,22,178630,26289,23425,44421,178239,52080,18781,21218,120194,373039,840126,10,1
2,1963,110076,60,3,21000,2,0,1,889,0,1,2,2,2,110022,60,81588,29606,10416,151567,41512,31559,20948,20975,29554,284564,2710972,28,0
2,1994,110011,11,2,21000,3,1,0,579,2,1,1,0,1,110071,11,204684,13293,30011,218423,215402,36647,40641,44468,244135,413522,1570788,15,0
0,1960,110075,42,2,20000,5,0,0,743,1,3,0,0,4,110022,42,180004,49975,31141,27933,96520,43186,42965,42152,234293,19463,3458067,20,1
1,1953,110072,45,1,20000,8,1,0,321,3,3,1,2,1,110052,45,39533,46387,47376,90027,40073,11898,12988,22635,235708,164460,1954271,28,0
0,1984,110012,17,1,21000,9,2,2,587,1,3,2,2,2,110009,17,32834,44763,47206,167989,23908,41097,20208,13012,241279,101621,390989,20,1
1,1952,110006,11,3,7000,6,1,1,542,3,0,1,2,0,110045,11,123426,59429,10587,172233,232159,48372,23396,44041,138689,83116,366704,12,1
2,1995,110021,18,3,15000,2,2,2,700,1,3,2,1,3,110006,18,249053,46879,35605,156337,225297,55677,23938,31182,40911,155195,510325,28,0
1,1983,110031,66,2,16000,1,2,1,681,3,2,1,0,0,110033,66,16314,28090,31993,174928,172250,55830,42200,34898,23178,362975,3055262,20,0
1,1961,110076,45,3,8000,6,2,0,354,0,1,2,2,3,110090,45,85009,25147,32482,149236,102883,43942,27817,23859,183766,430549,2330918,32,1
0,1988,110025,21,2,5000,3,0,1,499,0,0,0,0,1,110034,21,152114,48400,20773,142435,48891,30511,56092,56308,122597,272753,4320748,15,0
0,1969,110033,2,2,11000,2,1,1,448,0,2,0,2,2,110070,2,227507,37555,59558,125000,201064,49120,47379,25478,145924,472239,1998542,15,1
1,1959,110082,51,1,21000,0,1,2,598,0,3,0,2,1,110093,51,242741,34923,30688,189536,232961,44677,51424,51530,149080,257965,2000661,28,0
0,1975,110090,25,0,15000,2,1,1,470,0,1,1,2,3,110096,25,94468,35054,23166,62534,49515,31893,30077,24544,194900,220098,1963268,12,1
0,1997,110001,62,3,10000,8,1,2,494,3,0,1,0,0,110055,62,237669,13520,18749,58652,58990,23736,31614,54250,249867,131335,3341434,32,1
1,1992,110022,13,1,22000,1,1,2,598,3,3,1,2,3,110082,13,171001,34076,59355,220992,214830,15806,47085,16398,170514,49910,3224874,10,0
0,1975,110050,2,3,12000,4,1,1,456,2,0,1,0,3,110071,2,207888,58171,52321,227236,126551,38140,42261,10415,26640,20880,3036470,4,0
1,1992,110077,64,2,14000,3,2,1,684,1,0,0,1,2,110020,64,98154,37283,37586,217492,175006,15849,18637,46132,179304,195698,3183652,28,0
2,1995,110052,0,3,12000,0,1,0,892,3,2,1,1,2,110091,0,145093,28943,54581,203441,18798,59172,13826,57177,174826,446511,1302203,20,1
0,1972,110098,42,2,16000,5,0,1,845,1,0,2,2,2,110099,42,195626,53279,10171,175164,57134,56230,25887,21795,229309,378826,3675017,12,1
2,1992,110065,9,3,10000,7,0,2,368,1,3,0,2,1,110009,9,143764,52846,50114,50164,132175,54491,49588,57904,50713,111880,1229407,4,1
1,1971,110002,0,0,23000,7,2,1,709,1,1,2,1,3,110066,0,24862,53772,33153,37607,148930,29308,20385,13376,43713,194766,1269924,10,0
1,1990,110055,51,0,18000,1,1,0,585,0,2,2,1,2,110100,51,97447,32776,41353,192572,59734,41480,18168,14491,53931,324926,1009739,10,1
2,1992,110081,34,0,19000,3,0,1,685,0,3,1,1,0,110055,34,232658,34024,33804,221094,240598,40458,14974,52917,28355,474126,1815160,28,0
2,1974,110053,56,0,7000,3,0,0,808,2,2,2,0,4,110066,56,244213,19478,22895,120105,21501,18771,13295,59503,157226,359794,1222255,24,0
2,1964,110018,27,2,13000,2,2,0,479,2,3,2,1,0,110039,27,99891,53981,19204,244036,156958,26647,32554,23065,184222,336019,2413977,24,0
0,1966,110013,17,2,0,6,0,2,622,3,2,0,0,3,110057,17,101763,10624,22453,216995,81716,32592,33961,51768,100008,296372,1853355,28,1
2,1970,110091,59,0,17000,0,2,1,729,3,1,0,2,2,110033,59,180691,19273,36923,219454,223615,30271,58517,19804,164112,350677,1834517,10,1
1,1983,110072,47,0,15000,6,1,1,692,3,1,2,2,0,110021,47,17567,37917,53745,179000,170822,41292,48717,52514,221668,270352,1283527,28,1
2,1957,110060,20,2,18000,9,1,1,331,3,3,0,1,4,110097,20,100863,23459,25453,154269,140207,33701,11751,34567,116754,458330,2709226,10,0
0,1994,110044,49,0,10000,9,1,2,702,1,1,2,1,0,110042,49,114851,23486,10758,54010,91571,31356,54758,25089,26688,35813,3681824,10,1
1,1958,110087,46,2,22000,3,0,0,434,3,2,1,1,3,110001,46,48759,27367,16809,184993,79974,58392,40495,10666,20030,281591,4577897,8,1
1,1992,110077,64,1,22000,4,0,0,662,3,3,2,0,2,110022,64,133992,43861,49908,156096,129977,43167,21091,41880,219957,224717,3691495,12,0
1,1982,110044,42,1,5000,8,1,2,738,0,1,0,2,1,110071,42,32861,37921,37984,220481,196613,33197,57247,52122,123023,474162,357384,32,0
1,1990,110023,36,2,22000,5,0,0,670,0,0,1,0,4,110073,36,59665,13161,30909,132837,30954,20408,13277,18779,61743,498910,791193,12,1
0,1973,110085,45,1,5000,1,1,2,665,2,1,0,0,3,110054,45,145858,31494,52506,33364,220689,12869,13899,13637,152585,482658,366718,24,0
2,1964,110015,25,0,23000,1,2,0,618,3,3,1,2,1,110015,25,64088,58635,58616,95515,38862,35621,35025,20647,63327,235857,684715,32,0
2,1967,110008,63,0,12000,4,0,1,892,1,0,1,2,2,110079,63,194433,58367,45342,208546,106796,52648,42204,44987,95016,217605,1885551,28,1
2,1960,110012,52,0,22000,6,2,1,470,2,1,0,2,2,110091,52,109464,49772,47311,44745,44172,39295,18331,21547,151914,288081,975103,10,0
1,1972,110043,43,2,11000,2,0,1,418,2,0,0,1,4,110009,43,48326,42724,22960,24732,62230,47449,45308,13171,215193,213811,3145388,12,0
2,1995,110081,39,3,9000,8,0,2,303,0,1,1,0,0,110039,39,173660,55820,43859,96923,144819,13109,16547,26221,86569,109963,484624,32,0
0,1961,110026,36,0,11000,0,1,2,725,2,0,2,0,4,110081,36,181594,26588,35687,84575,221718,45137,22650,50556,69235,497707,2342424,4,0
1,1951,110013,0,2,16000,8,0,1,726,0,1,0,1,0,110003,0,179001,20141,32673,221586,134371,17357,47038,52078,25394,81549,4287637,32,1
1,1951,110009,57,1,0,0,1,2,410,0,0,2,1,2,110027,57,157469,36870,59378,112107,71478,50161,52550,58312,114955,100679,4873941,4,1
1,1951,110035,64,1,20000,2,2,1,592,3,1,1,1,3,110032,64,218651,25284,45131,128194,201126,26440,36876,22557,183497,142481,3953573,15,0
0,1952,110026,49,0,12000,0,1,0,358,3,3,0,1,1,110035,49,191348,44637,16010,24201,141556,19396,41493,35071,244125,252151,1356412,24,0
1,1995,110029,23,0,5000,9,0,1,810,0,2,0,0,3,110070,23,194440,17314,55520,164992,196345,37259,15773,43588,190029,293639,2406694,24,1
0,1951,110018,36,2,20000,4,0,1,348,1,2,0,2,2,110070,36,77460,57150,37044,244140,197482,15473,11767,18557,162914,115642,4982899,4,0
0,1973,110070,24,2,22000,6,1,2,353,1,3,1,1,4,110070,24,63052,36096,32507,34329,186870,40071,47720,35475,207678,258965,2975729,10,0
0,1977,110078,10,1,19000,4,2,0,519,2,1,2,0,3,110092,10,68489,58793,55326,124412,208693,45530,14896,17233,165140,59625,2443680,12,0
2,1966,110091,54,0,20000,1,0,0,465,0,2,1,2,1,110094,54,65952,42404,36211,62726,42046,56079,55750,29777,56916,313864,3992894,12,1
2,1951,110029,43,3,6000,8,2,0,394,2,2,2,1,3,110013,43,164366,31138,34768,72054,168345,52964,37680,26668,162430,365942,364417,24,0
0,1972,110086,42,1,18000,1,1,0,307,3,0,0,1,4,110063,42,186394,37821,48765,150190,19635,28097,36997,57919,214163,478547,4825548,10,0
1,1983,110046,14,1,5000,8,0,1,517,0,3,1,0,2,110096,14,100396,54885,19338,178006,203678,39694,46650,31788,125480,93738,1314699,12,0
2,1979,110010,15,3,9000,8,1,2,613,3,3,1,2,0,110005,15,18080,56706,50675,17572,236563,41136,41759,57285,10316,471720,4874211,20,0
2,1959,110037,58,3,18000,4,0,0,760,1,3,2,1,0,110018,58,151571,33674,48170,148972,51014,24967,12900,42817,99399,209233,1893764,20,1
1,1974,110039,29,0,8000,2,1,0,311,1,0,1,1,4,110003,29,171911,56334,48496,102356,180994,57538,56382,32037,242227,383946,1110627,32,0
2,1952,110078,32,1,20000,3,0,2,342,1,1,0,1,1,110028,32,182962,44722,46084,40610,41263,58401,50748,17929,36293,484934,2345463,24,0
2,1997,110055,17,3,11000,1,0,0,783,1,1,0,1,2,110095,17,122626,35809,26683,228670,26043,55491,23511,59046,143060,68412,1871338,24,1
0,1972,110004,11,0,13000,3,1,1,388,1,3,1,2,4,110014,11,65920,15515,39093,47010,184386,15831,33396,21087,194686,360659,318732,8,0
2,1959,110069,2,2,12000,1,0,1,331,2,1,2,0,2,110072,2,225288,48363,11374,157408,20126,44907,20568,50361,35093,44139,4671558,15,0
1,1965,110042,16,3,16000,5,2,1,607,3,3,0,1,4,110096,16,83271,33372,27714,131313,163326,28851,53587,26040,92455,205303,3182236,24,1
0,1952,110021,11,1,22000,2,0,1,844,0,3,2,0,3,110097,11,212064,56868,52289,24794,228419,39056,40726,36004,233200,42270,2985100,4,0
1,1967,110002,65,3,18000,2,2,0,810,3,1,1,2,0,110052,65,95293,21973,13894,67303,52458,54543,15819,22812,16841,256718,2794483,8,0
1,1960,110004,32,0,7000,0,1,0,701,3,1,0,1,2,110041,32,101109,34399,30570,137407,34565,56646,47851,26909,52133,336985,2905543,20,0
2,1974,110050,12,3,17000,3,1,0,827,3,0,1,2,3,110012,12,134864,39270,28902,48786,179114,56895,12387,34815,195627,194721,1279474,20,0
1,1973,110013,18,3,21000,5,1,1,506,1,2,1,2,0,110090,18,183758,10153,35849,84059,82921,36756,28835,56829,21904,392547,1017375,24,0
1,1964,110013,57,2,19000,8,2,2,499,3,1,1,1,2,110046,57,81860,24699,35190,120452,186980,39120,56842,17239,242290,38441,2861935,10,0
1,1962,110019,34,2,10000,1,1,1,719,1,1,0,0,1,110098,34,161539,37239,36830,139530,154199,24138,37004,10918,195880,433694,2707949,10,0
2,1993,110039,11,3,10000,8,0,2,724,3,1,2,1,0,110076,11,88880,38210,35375,187803,19255,54583,50747,12738,155585,456811,3704241,8,1
2,1959,110019,66,2,12000,9,1,0,637,3,0,0,0,3,110100,66,181247,55687,15817,86186,65303,53625,35064,29014,157931,81744,2284270,8,0
2,1973,110040,8,3,22000,4,0,2,687,0,1,1,2,4,110094,8,233034,51153,15643,111728,167403,25029,25466,30383,168220,124835,3533101,12,1
0,1958,110008,21,3,11000,7,0,1,451,2,3,2,0,0,110038,21,49275,21189,59433,66491,172189,28350,28609,19041,201371,74258,2239676,15,1
0,1973,110072,40,0,0,0,0,0,879,0,0,1,1,1,110069,40,44419,54788,34967,240338,40820,38067,52915,47502,193450,85284,606257,24,1
0,1967,110080,1,2,7000,9,0,2,793,2,1,1,0,1,110007,1,13040,19875,36999,76208,68559,26898,14759,17820,122982,422572,1166256,8,1
0,1990,110070,38,0,11000,9,2,1,396,3,0,1,2,1,110061,38,170150,32485,12552,181266,159357,54819,18114,30201,209225,143855,2307299,28,1
1,1990,110094,42,2,21000,0,1,1,380,3,0,2,0,2,110002,42,195312,44005,36151,107584,67200,27472,29704,50428,208758,449596,2388385,8,1
1,1981,110011,59,1,0,6,1,0,543,1,0,1,0,3,110068,59,231177,11632,54808,10928,128686,26844,51999,54712,175831,106925,2246589,4,1
0,1950,110079,65,0,13000,6,0,1,501,0,2,1,0,2,110014,65,203838,23269,43686,32718,33053,10684,59240,26029,29379,92977,427046,20,1
2,1952,110095,29,2,11000,2,0,2,359,2,0,0,2,1,110095,29,124626,32431,28547,67887,92169,45666,59283,19076,157938,453025,200349,10,0
2,1979,110011,59,0,6000,1,0,1,831,2,1,1,0,3,110068,59,229683,56551,34975,102656,52369,20890,43062,27501,179570,103776,1399321,20,0
0,1989,110036,43,3,17000,6,2,0,498,2,1,2,2,4,110096,43,226860,38186,30623,232488,56447,43622,16349,59476,131325,14800,3015535,28,1
1,1995,110061,57,2,5000,9,1,2,498,2,2,0,0,4,110100,57,170905,59192,49506,244322,20460,21214,10774,28509,166503,371140,522307,12,0
1,1992,110080,44,3,18000,0,2,1,720,0,1,0,2,1,110006,44,126364,31019,36575,14928,218798,30313,51080,57666,31174,312439,807032,8,0
0,1957,110010,8,0,12000,6,0,0,888,3,1,2,2,2,110094,8,115024,36286,21359,40429,172230,12733,10315,51254,67507,331375,3247672,20,1
0,1979,110055,10,0,15000,5,1,1,346,0,0,1,1,1,110077,10,148470,18880,56734,102986,53274,53925,59410,35684,98915,58140,1750893,8,1
1,1960,110049,63,0,12000,4,0,0,843,0,3,1,2,1,110058,63,127504,11561,11198,86859,85201,46345,37615,12533,103193,393155,4019902,8,1
2,1990,110018,38,2,14000,3,1,1,840,3,0,1,0,4,110077,38,58390,19956,20611,140083,172305,32208,48173,58266,101950,396664,1590512,28,0
0,1975,110004,55,0,12000,6,2,0,592,1,2,2,1,1,110024,55,116593,45552,44600,115260,174948,32218,51818,54601,183375,259296,1307853,15,1
0,1997,110019,28,2,14000,8,1,0,827,1,1,0,0,1,110062,28,112092,29447,36364,109162,161123,41982,26690,53719,39420,108801,572396,15,0
1,1957,110052,65,0,19000,4,0,1,599,3,0,2,0,0,110065,65,178916,46644,34717,57721,205045,48655,19168,58374,183548,417631,4502670,4,0
1,1994,110020,28,3,12000,6,0,2,510,2,3,0,1,3,110037,28,73899,36488,54208,198361,44289,53896,39596,29878,57526,218969,4172994,32,0
2,1986,110038,31,0,8000,5,2,0,538,2,3,1,2,1,110099,31,74869,13350,44918,227994,38665,47456,44524,13280,195079,27195,951277,24,0
1,1967,110037,7,1,8000,4,0,2,500,2,3,1,0,2,110004,7,69806,53200,56192,171209,174875,52032,41003,51699,217427,364866,305674,12,1
2,1958,110061,21,2,18000,7,2,1,410,1,0,2,0,4,110059,21,40558,11049,37531,78766,18170,18512,40200,29576,207410,110351,1888643,28,0
1,1958,110070,8,3,16000,0,1,0,588,2,0,2,2,4,110004,8,236081,28807,44657,149577,111165,17013,51158,35400,87030,392559,2702696,4,0
1,1984,110031,13,2,20000,4,2,2,308,2,1,2,2,4,110042,13,77940,22422,32816,49601,35163,10075,44593,36671,123317,241491,1179771,8,1
1,1995,110098,57,0,10000,4,0,1,683,0,0,1,2,0,110095,57,50809,28135,44194,31091,131775,36279,40641,49308,35041,94345,4913570,12,0
1,1982,110019,57,3,23000,3,0,1,628,3,1,2,0,3,110024,57,198741,10117,24185,61936,194080,49792,35652,23260,193546,400484,3171136,20,1
0,1972,110077,66,3,8000,3,1,0,410,0,3,0,2,4,110024,66,105473,34001,51942,118756,111880,17542,42257,13500,182186,89228,3644093,12,1
2,1953,110077,58,3,16000,1,0,2,788,0,1,0,0,4,110015,58,125723,16353,42948,18236,115628,13656,28057,21482,239237,160513,3116763,12,0
2,1982,110021,31,0,15000,5,0,1,428,2,0,0,2,1,110033,31,185045,53217,27675,146424,210635,28525,32857,10344,51708,16270,3772891,32,1
0,1955,110060,41,2,14000,1,2,2,539,0,2,2,0,3,110052,41,12371,29514,22155,97995,68667,25866,44444,54938,212482,463000,4072246,12,0
0,1980,110027,33,0,22000,2,2,1,598,1,0,2,2,3,110012,33,246049,33086,42819,113418,159666,18267,42954,43713,138988,339169,4621365,10,0
2,1989,110056,41,2,0,6,2,1,702,3,1,0,1,1,110092,41,76496,47744,50303,243160,129243,17587,46185,20041,81186,119667,2755993,12,1
0,1990,110052,9,2,21000,4,2,2,618,0,3,1,1,3,110067,9,25073,21276,41884,211353,212574,34842,53388,55940,29692,296113,3908171,8,0
1,1975,110057,61,2,22000,2,2,2,328,0,2,1,2,3,110033,61,91627,31102,30800,224361,37391,10279,53601,30364,248273,142257,2197792,10,0
0,1957,110027,34,1,18000,9,0,0,437,1,3,0,2,3,110006,34,127768,35696,32124,11195,111148,27149,16856,35200,136699,42262,2904261,8,1
1,1995,110063,55,3,5000,6,0,2,805,3,1,0,1,4,110061,55,164035,55287,26551,248301,197564,18292,56386,31867,68010,431605,2323638,8,0
2,1988,110082,28,0,7000,8,2,2,882,3,0,2,2,2,110078,28,113351,18421,12892,205029,185727,13771,51447,59239,70827,68194,2985856,28,0
2,1952,110037,63,1,9000,6,1,0,517,0,3,0,2,1,110010,63,143628,13582,47059,243080,29848,32051,35415,40214,235522,60034,3663715,8,0
0,1984,110013,5,2,13000,7,0,1,783,3,3,2,0,2,110065,5,175984,40655,30532,145840,223353,53914,26307,16165,188040,440050,624903,20,1
1,1953,110063,52,2,10000,9,0,2,488,1,1,0,1,1,110058,52,204539,57373,19141,129566,26303,10614,48904,43325,222863,187348,4016977,32,1
2,1993,110037,3,2,15000,1,0,2,844,2,0,2,0,2,110016,3,206462,41576,28836,166909,99410,35004,10706,25576,99053,367032,162448,20,0
0,1996,110003,42,3,22000,4,0,1,464,1,0,1,2,0,110019,42,11261,39341,36441,150564,207356,42501,29953,59429,238260,459745,4640899,4,0
2,1996,110056,14,0,12000,3,1,1,601,0,2,2,2,0,110015,14,249536,27876,58726,116456,194256,40479,42662,28204,183843,226029,674124,8,0
0,1995,110004,62,0,16000,1,0,1,328,0,1,0,2,4,110071,62,227475,29500,58402,137992,40036,11242,54784,48490,213478,461382,1154899,4,1
2,1967,110012,60,0,7000,4,1,1,335,2,3,2,1,1,110076,60,102732,58210,58145,182946,20518,17311,11604,37999,12288,407378,4373894,28,1
0,1994,110040,63,3,21000,3,2,2,350,2,0,1,1,1,110021,63,42315,17419,43359,184829,111140,51633,29581,27776,52876,128140,501612,4,0
2,1975,110034,41,2,0,1,0,2,584,0,2,2,0,2,110055,41,133880,46420,22631,73042,131447,34151,47292,51198,150974,406972,3427872,28,0
2,1957,110022,25,0,15000,7,1,0,344,2,2,2,1,3,110079,25,129983,50403,30206,36738,146765,13597,30170,52841,61399,297807,4176228,15,0
0,1982,110026,57,2,11000,8,0,2,897,1,3,0,2,2,110072,57,29624,23536,34916,59357,40154,33923,45321,53064,158953,495964,1392697,10,1
2,1974,110009,16,3,15000,8,1,1,844,3,0,1,1,4,110032,16,166981,24298,50968,153415,56157,27908,32154,39903,82783,260948,875644,10,1
1,1989,110039,15,2,6000,9,1,0,823,2,0,2,0,0,110096,15,221908,27130,38496,119187,30045,52444,21863,39739,25681,198774,2247178,8,1
2,1998,110100,63,0,10000,4,0,1,464,2,2,2,0,4,110085,63,69518,59340,53918,10724,228337,15206,16568,30641,162943,196183,1069569,15,1
2,1991,110032,31,0,0,7,1,0,458,2,3,2,1,4,110006,31,98569,29338,50919,230806,200979,22409,55368,46921,40048,61669,4131861,20,1
1,1955,110062,28,0,22000,6,0,0,527,3,1,0,0,1,110008,28,70921,58301,32987,184937,242101,44079,54969,46693,120540,56728,178839,32,0
1,1981,110040,29,2,15000,7,2,2,567,3,2,0,1,4,110027,29,173176,55998,53419,52799,109719,58486,59655,54106,120144,496537,4059092,15,1
2,1994,110088,35,3,16000,8,0,1,682,2,2,2,2,1,110066,35,138743,16955,13025,93062,146233,10280,32493,35039,100077,98783,424501,10,1
0,1960,110075,7,1,13000,8,1,2,558,1,1,2,1,4,110047,7,152104,11965,15868,125097,153847,51666,13859,40469,241920,148648,1066625,32,1
0,1991,110017,54,1,15000,7,1,2,550,2,3,1,2,2,110083,54,189104,49471,40173,111851,201203,47065,14976,12781,217624,95453,1772386,12,0
0,1960,110027,56,2,17000,5,1,0,398,2,3,2,0,3,110073,56,33108,12085,53235,38183,108567,31570,24367,40300,129164,470006,3279078,24,0
1,1954,110026,35,2,20000,5,2,2,637,0,3,0,1,4,110076,35,103620,12348,10349,236129,39300,11009,55677,26425,227164,369581,2134757,20,1
2,1965,110067,36,2,12000,6,1,1,449,1,2,0,2,3,110087,36,36914,13629,22558,90406,143967,47109,38904,12476,179845,246199,4048436,8,0
